"","ppg"
"804",81.32693
"805",81.09987
"806",80.86061
"807",80.63111
"808",80.43336
"809",80.28199
"810",80.17212
"811",80.08423
"812",80.008545
"813",79.92554
"814",79.82544
"815",79.70092
"816",79.55932
"817",79.40795
"818",79.24925
"819",79.097885
"820",78.95384
"821",78.82445
"822",78.70725
"823",78.607155
"824",78.52415
"825",78.45579
"826",78.40452
"827",78.365456
"828",78.34104
"829",78.32395
"830",78.314186
"831",78.30442
"832",78.2971
"833",78.28977
"834",78.277565
"835",78.260475
"836",78.23605
"837",78.204315
"838",78.16037
"839",78.1091
"840",78.0676
"841",78.082245
"842",78.23361
"843",78.60227
"844",79.237045
"845",80.09888
"846",81.07057
"847",81.986115
"848",82.69657
"849",83.10918
"850",83.228806
"851",83.11162
"852",82.845505
"853",82.511024
"854",82.16922
"855",81.85916
"856",81.60525
"857",81.39773
"858",81.22194
"859",81.04616
"860",80.85817
"861",80.65308
"862",80.44312
"863",80.255135
"864",80.09888
"865",79.98657
"866",79.906006
"867",79.84741
"868",79.7937
"869",79.73022
"870",79.64477
"871",79.54467
"872",79.432365
"873",79.31274
"874",79.1931
"875",79.07591
"876",78.96117
"877",78.84642
"878",78.73655
"879",78.63889
"880",78.56077
"881",78.502174
"882",78.46067
"883",78.43626
"884",78.42405
"885",78.41917
"886",78.41917
"887",78.42649
"888",78.433815
"889",78.433815
"890",78.42649
"891",78.40452
"892",78.3679
"893",78.31907
"894",78.2678
"895",78.23117
"896",78.2678
"897",78.450905
"898",78.856186
"899",79.500725
"900",80.3357
"901",81.234146
"902",82.054474
"903",82.650185
"904",82.96025
"905",82.99443
"906",82.82109
"907",82.52323
"908",82.18387
"909",81.85916
"910",81.58572
"911",81.36843
"912",81.1902
"913",81.02907
"914",80.86061
"915",80.6775
"916",80.49195
"917",80.31861
"918",80.17212
"919",80.062256
"920",79.98901
"921",79.93286
"922",79.88159
"923",79.82056
"924",79.742424
"925",79.64721
"926",79.53002
"927",79.40063
"928",79.26391
"929",79.12474
"930",78.995346
"931",78.87572
"932",78.77806
"933",78.695045
"934",78.63401
"935",78.58762
"936",78.54856
"937",78.51682
"938",78.49973
"939",78.487526
"940",78.487526
"941",78.48997
"942",78.49241
"943",78.48997
"944",78.47532
"945",78.450905
"946",78.4094
"947",78.36057
"948",78.30442
"949",78.24826
"950",78.21896
"951",78.27024
"952",78.48264
"953",78.91966
"954",79.5935
"955",80.430916
"956",81.30251
"957",82.04959
"958",82.55009
"959",82.760056
"960",82.7161
"961",82.493935
"962",82.176544
"963",81.83475
"964",81.512474
"965",81.22682
"966",80.987564
"967",80.780045
"968",80.59693
"969",80.42115
"970",80.255135
"971",80.1062
"972",79.98413
"973",79.89868
"974",79.84253
"975",79.81079
"976",79.783936
"977",79.74731
"978",79.68383
"979",79.59594
"980",79.48119
"981",79.34692
"982",79.20775
"983",79.06859
"984",78.93431
"985",78.80736
"986",78.69016
"987",78.58274
"988",78.49485
"989",78.43137
"990",78.38987
"991",78.3679
"992",78.36057
"993",78.365456
"994",78.380104
"995",78.399635
"996",78.416725
"997",78.43626
"998",78.44846
"999",78.44846
"1000",78.43137
"1001",78.40696
"1002",78.37522
"1003",78.33616
"1004",78.30198
"1005",78.31663
"1006",78.44358
"1007",78.765854
"1008",79.3225
"1009",80.09155
"1010",80.970474
"1011",81.82498
"1012",82.5037
"1013",82.913864
"1014",83.04326
"1015",82.950485
"1016",82.71366
"1017",82.408485
"1018",82.1033
"1019",81.83719
"1020",81.62234
"1021",81.446556
"1022",81.29519
"1023",81.15358
"1024",81.00954
"1025",80.87038
"1026",80.7483
"1027",80.65064
"1028",80.587166
"1029",80.550545
"1030",80.533455
"1031",80.51881
"1032",80.48707
"1033",80.4358
"1034",80.35767
"1035",80.26002
"1036",80.14282
"1037",80.01587
"1038",79.88403
"1039",79.75708
"1040",79.64233
"1041",79.551994
"1042",79.4934
"1043",79.4641
"1044",79.449455
"1045",79.44457
"1046",79.44213
"1047",79.43725
"1048",79.42504
"1049",79.40795
"1050",79.38842
"1051",79.35912
"1052",79.31518
"1053",79.26147
"1054",79.19554
"1055",79.1223
"1056",79.0515
"1057",78.99046
"1058",78.96605
"1059",79.029526
"1060",79.24681
"1061",79.674065
"1062",80.306404
"1063",81.075455
"1064",81.85672
"1065",82.51591
"1066",82.94316
"1067",83.1165
"1068",83.072556
"1069",82.88701
"1070",82.633095
"1071",82.36454
"1072",82.11795
"1073",81.90555
"1074",81.722435
"1075",81.5613
"1076",81.40749
"1077",81.25124
"1078",81.08766
"1079",80.92409
"1080",80.77516
"1081",80.65797
"1082",80.5774
"1083",80.52369
"1084",80.482185
"1085",80.44068
"1086",80.377205
"1087",80.28687
"1088",80.16724
"1089",80.01587
"1090",79.852295
"1091",79.68871
"1092",79.53246
"1093",79.3933
"1094",79.281
"1095",79.18822
"1096",79.11253
"1097",79.05394
"1098",79.009995
"1099",78.975815
"1100",78.94896
"1101",78.92699
"1102",78.91234
"1103",78.89769
"1104",78.88304
"1105",78.86595
"1106",78.84398
"1107",78.8098
"1108",78.765854
"1109",78.7219
"1110",78.68284
"1111",78.66819
"1112",78.712135
"1113",78.88304
"1114",79.24925
"1115",79.823
"1116",80.56031
"1117",81.356224
"1118",82.07645
"1119",82.598915
"1120",82.86748
"1121",82.899216
"1122",82.76738
"1123",82.54032
"1124",82.27909
"1125",82.0325
"1126",81.82742
"1127",81.671165
"1128",81.54421
"1129",81.42458
"1130",81.287865
"1131",81.126724
"1132",80.938736
"1133",80.74586
"1134",80.57496
"1135",80.43336
"1136",80.32838
"1137",80.24292
"1138",80.16968
"1139",80.093994
"1140",80.01099
"1141",79.91577
"1142",79.81079
"1143",79.70336
"1144",79.586174
"1145",79.47387
"1146",79.361565
"1147",79.26147
"1148",79.166245
"1149",79.08812
"1150",79.01976
"1151",78.96361
"1152",78.91478
"1153",78.873276
"1154",78.836655
"1155",78.8098
"1156",78.79515
"1157",78.7805
"1158",78.768295
"1159",78.74387
"1160",78.70481
"1161",78.64866
"1162",78.57786
"1163",78.49729
"1164",78.41428
"1165",78.345924
"1166",78.34104
"1167",78.470436
"1168",78.79759
"1169",79.34203
"1170",80.05737
"1171",80.833755
"1172",81.53445
"1173",82.04715
"1174",82.31083
"1175",82.340126
"1176",82.196075
"1177",81.951935
"1178",81.67361
"1179",81.40749
"1180",81.18532
"1181",81.01198
"1182",80.87282
"1183",80.743416
"1184",80.601814
"1185",80.43336
"1186",80.24292
"1187",80.04761
"1188",79.871826
"1189",79.73266
"1190",79.639885
"1191",79.58129
"1192",79.54711
"1193",79.51293
"1194",79.46899
"1195",79.40307
"1196",79.31762
"1197",79.219955
"1198",79.114975
"1199",79.00511
"1200",78.89525
"1201",78.79271
"1202",78.69993
"1203",78.61936
"1204",78.553444
"1205",78.504616
"1206",78.47532
"1207",78.46067
"1208",78.45823
"1209",78.46311
"1210",78.47532
"1211",78.48264
"1212",78.48264
"1213",78.4802
"1214",78.470436
"1215",78.450905
"1216",78.43137
"1217",78.41428
"1218",78.39475
"1219",78.37278
"1220",78.35813
"1221",78.380104
"1222",78.504616
"1223",78.81468
"1224",79.364006
"1225",80.130615
"1226",81.0193
"1227",81.88602
"1228",82.581825
"1229",83.00908
"1230",83.160446
"1231",83.09697
"1232",82.90654
"1233",82.65995
"1234",82.423134
"1235",82.22537
"1236",82.074005
"1237",81.95438
"1238",81.85184
"1239",81.73708
"1240",81.5906
"1241",81.41482
"1242",81.21706
"1243",81.01686
"1244",80.84352
"1245",80.706795
"1246",80.604256
"1247",80.52857
"1248",80.45777
"1249",80.38453
"1250",80.29664
"1251",80.19165
"1252",80.07446
"1253",79.94995
"1254",79.823
"1255",79.69848
"1256",79.57885
"1257",79.4641
"1258",79.364006
"1259",79.276115
"1260",79.20531
"1261",79.15404
"1262",79.11986
"1263",79.093
"1264",79.06859
"1265",79.046616
"1266",79.02464
"1267",79.00267
"1268",78.9807
"1269",78.96117
"1270",78.94408
"1271",78.924545
"1272",78.90257
"1273",78.870834
"1274",78.82689
"1275",78.77074
"1276",78.70725
"1277",78.64866
"1278",78.607155
"1279",78.61448
"1280",78.73411
"1281",79.044174
"1282",79.586174
"1283",80.33326
"1284",81.18776
"1285",82.01541
"1286",82.669716
"1287",83.06523
"1288",83.192184
"1289",83.10918
"1290",82.899216
"1291",82.64042
"1292",82.388954
"1293",82.18875
"1294",82.04227
"1295",81.934845
"1296",81.83719
"1297",81.71999
"1298",81.55886
"1299",81.35134
"1300",81.11452
"1301",80.8777
"1302",80.66529
"1303",80.50172
"1304",80.38697
"1305",80.308846
"1306",80.25025
"1307",80.19409
"1308",80.13306
"1309",80.05005
"1310",79.94995
"1311",79.83032
"1312",79.70336
"1313",79.57641
"1314",79.45678
"1315",79.34692
"1316",79.24681
"1317",79.15892
"1318",79.078354
"1319",79.009995
"1320",78.94896
"1321",78.890366
"1322",78.836655
"1323",78.79027
"1324",78.75365
"1325",78.72434
"1326",78.70481
"1327",78.692604
"1328",78.6804
"1329",78.66819
"1330",78.6511
"1331",78.63401
"1332",78.6096
"1333",78.58274
"1334",78.555885
"1335",78.52903
"1336",78.49973
"1337",78.47288
"1338",78.47288
"1339",78.555885
"1340",78.802475
"1341",79.273674
"1342",79.971924
"1343",80.816666
"1344",81.67605
"1345",82.39628
"1346",82.8748
"1347",83.07744
"1348",83.035934
"1349",82.83086
"1350",82.547646
"1351",82.252235
"1352",81.99344
"1353",81.7908
"1354",81.64187
"1355",81.51736
"1356",81.392845
"1357",81.23659
"1358",81.04616
"1359",80.833755
"1360",80.618904
"1361",80.42359
"1362",80.26978
"1363",80.15259
"1364",80.06958
"1365",80.00122
"1366",79.93286
"1367",79.84985
"1368",79.74731
"1369",79.62524
"1370",79.4934
"1371",79.35668
"1372",79.21507
"1373",79.080795
"1374",78.9514
"1375",78.82689
"1376",78.71458
"1377",78.624245
"1378",78.54612
"1379",78.48997
"1380",78.44602
"1381",78.416725
"1382",78.39231
"1383",78.37522
"1384",78.35813
"1385",78.34104
"1386",78.31907
"1387",78.2971
"1388",78.28001
"1389",78.26292
"1390",78.24826
"1391",78.23605
"1392",78.21408
"1393",78.18234
"1394",78.14572
"1395",78.10666
"1396",78.09445
"1397",78.167694
"1398",78.40452
"1399",78.870834
"1400",79.56176
"1401",80.413826
"1402",81.29763
"1403",82.0618
"1404",82.59403
"1405",82.84306
"1406",82.845505
"1407",82.67216
"1408",82.39384
"1409",82.091095
"1410",81.80789
"1411",81.57595
"1412",81.3904
"1413",81.23659
"1414",81.092545
"1415",80.94118
"1416",80.77516
"1417",80.604256
"1418",80.448006
"1419",80.31617
"1420",80.21362
"1421",80.13794
"1422",80.076904
"1423",80.01587
"1424",79.94507
"1425",79.85718
"1426",79.74731
"1427",79.62768
"1428",79.49584
"1429",79.36645
"1430",79.23949
"1431",79.12718
"1432",79.029526
"1433",78.94408
"1434",78.873276
"1435",78.81224
"1436",78.75853
"1437",78.709694
"1438",78.66819
"1439",78.62913
"1440",78.59739
"1441",78.56809
"1442",78.54612
"1443",78.52659
"1444",78.51682
"1445",78.51194
"1446",78.51194
"1447",78.51438
"1448",78.51438
"1449",78.50706
"1450",78.49241
"1451",78.47532
"1452",78.450905
"1453",78.42405
"1454",78.39475
"1455",78.37034
"1456",78.37278
"1457",78.450905
"1458",78.69016
"1459",79.15648
"1460",79.85962
"1461",80.72877
"1462",81.634544
"1463",82.43046
"1464",82.99199
"1465",83.265434
"1466",83.27764
"1467",83.09453
"1468",82.794235
"1469",82.45487
"1470",82.12283
"1471",81.829865
"1472",81.58816
"1473",81.38308
"1474",81.19997
"1475",81.02174
"1476",80.85329
"1477",80.69703
"1478",80.56031
"1479",80.45289
"1480",80.37232
"1481",80.31129
"1482",80.25025
"1483",80.181885
"1484",80.10132
"1485",80.00122
"1486",79.87915
"1487",79.73754
"1488",79.59106
"1489",79.44213
"1490",79.29565
"1491",79.15404
"1492",79.02464
"1493",78.907455
"1494",78.80736
"1495",78.72434
"1496",78.658424
"1497",78.6096
"1498",78.56809
"1499",78.53147
"1500",78.502174
"1501",78.47776
"1502",78.46067
"1503",78.450905
"1504",78.450905
"1505",78.45823
"1506",78.467995
"1507",78.47532
"1508",78.48264
"1509",78.487526
"1510",78.485085
"1511",78.467995
"1512",78.44114
"1513",78.4094
"1514",78.37522
"1515",78.3679
"1516",78.4387
"1517",78.66575
"1518",79.114975
"1519",79.798584
"1520",80.655525
"1521",81.55886
"1522",82.3621
"1523",82.930954
"1524",83.20683
"1525",83.211716
"1526",83.021286
"1527",82.70878
"1528",82.34257
"1529",81.97879
"1530",81.64919
"1531",81.36111
"1532",81.109634
"1533",80.89235
"1534",80.69947
"1535",80.53101
"1536",80.39918
"1537",80.31861
"1538",80.28443
"1539",80.28687
"1540",80.306404
"1541",80.31861
"1542",80.306404
"1543",80.255135
"1544",80.16235
"1545",80.03296
"1546",79.87671
"1547",79.70092
"1548",79.52758
"1549",79.361565
"1550",79.21019
"1551",79.080795
"1552",78.9807
"1553",78.905014
"1554",78.853745
"1555",78.82201
"1556",78.802475
"1557",78.78783
"1558",78.7805
"1559",78.77562
"1560",78.77562
"1561",78.77562
"1562",78.76341
"1563",78.74387
"1564",78.712135
"1565",78.67063
"1566",78.6218
"1567",78.5803
"1568",78.57542
"1569",78.6511
"1570",78.88548
"1571",79.33227
"1572",79.99634
"1573",80.80446
"1574",81.64187
"1575",82.36454
"1576",82.862595
"1577",83.09453
"1578",83.08232
"1579",82.89189
"1580",82.58915
"1581",82.24002
"1582",81.89334
"1583",81.566185
"1584",81.270775
"1585",81.007095
"1586",80.77272
"1587",80.570076
"1588",80.411385
"1589",80.308846
"1590",80.26734
"1591",80.27955
"1592",80.325935
"1593",80.38209
"1594",80.40894
"1595",80.38697
"1596",80.31129
"1597",80.18921
"1598",80.0354
"1599",79.871826
"1600",79.708244
"1601",79.54955
"1602",79.40551
"1603",79.276115
"1604",79.168686
"1605",79.08568
"1606",79.02464
"1607",78.98558
"1608",78.96117
"1609",78.93919
"1610",78.922104
"1611",78.89525
"1612",78.86839
"1613",78.82933
"1614",78.79271
"1615",78.76341
"1616",78.77318
"1617",78.87572
"1618",79.14183
"1619",79.61303
"1620",80.274666
"1621",81.05348
"1622",81.8201
"1623",82.44755
"1624",82.84306
"1625",82.984665
"1626",82.91142
"1627",82.69169
"1628",82.391396
"1629",82.07645
"1630",81.778595
"1631",81.51736
"1632",81.29275
"1633",81.0901
"1634",80.90456
"1635",80.73853
"1636",80.59693
"1637",80.49195
"1638",80.428474
"1639",80.40162
"1640",80.38941
"1641",80.37232
"1642",80.33814
"1643",80.272224
"1644",80.17212
"1645",80.04761
"1646",79.903564
"1647",79.74975
"1648",79.59594
"1649",79.45434
"1650",79.327385
"1651",79.219955
"1652",79.132065
"1653",79.063705
"1654",79.01488
"1655",78.97826
"1656",78.9514
"1657",78.93187
"1658",78.907455
"1659",78.87572
"1660",78.84398
"1661",78.82445
"1662",78.856186
"1663",78.99779
"1664",79.31762
